County	Pct_Voted	MedianAge	MeanSavings	Pct_Poverty	PopulationDensity	Gender
Bradford, FL	36.46	33.6	55896	21.6	78.4	M
Tucker, WV	49.79	37.2	92281	18.2	18.6	M
San Patricio, TX	43.43	30.6	42543	23.8	87.7	M
Martin, NC	50.76	34.7	66605	16.1	54.7	M
Moore, TX	24.75	29.3	54457	12.5	20	M
Floyd, VA	38.11	37.8	92895	13.6	32.2	F
York, ME	37.55	33.7	83058	10.4	168	F
Pulaski, AR	58.03	32.4	105797	17.1	458	M
Delaware, IN	38.56	31.4	65528	16.4	304.1	F
Bradley, AR	61.07	36.6	132909	23.8	17.8	F
Waukesha, WI	28.06	34	74506	3.5	574.9	M
Goshen, WY	32.98	34.6	102320	18	5.6	M
Haskell, OK	55.34	38	53646	25.5	19.1	M
Weld, CO	35.71	30.5	55994	15.3	34.1	M
Scott, MS	35.9	31.6	97519	24.1	40.1	M
Harmon, OK	48.6	37.7	113136	33.9	6.7	M
Greene, AR	61.2	35.5	87692	16.4	56.8	F
Scott, KS	18.93	35	199598	8.7	7.4	F
Pima, AZ	45.68	32.8	65541	19	75.3	F
Wadena, MN	36.57	36	97224	18.3	24.1	F
Calhoun, AL	38.44	32.7	76073	18	190.8	F
Cochran, TX	31.07	30.1	106271	28.6	5.4	M
Rowan, NC	33.48	35.2	56048	11.7	222.3	M
Livingston, NY	32.25	31.2	67816	10.5	101.2	M
Sevier, UT	16.6	29	85292	15.4	8.3	F
Webster, MS	35	34.8	109631	22.4	24.1	M
Monona, IA	39.99	40.5	133902	13.9	14.4	F
Yavapai, AZ	30.75	42.4	95144	15	14.3	F
Stokes, NC	38.8	34.3	42561	10.8	85.6	M
Shoshone, ID	48.59	37.3	96099	20.7	5.2	F
Montgomery, MS	43.47	33.8	98539	28	30.2	M
Todd, MN	36.55	34.6	69249	16.4	24.8	F
Runnels, TX	32.28	37	126055	18.9	10.4	M
Van Wert, OH	26.88	34	63861	7.6	73.9	M
Blaine, MT	44.48	31.6	81182	22.2	1.6	M
Pulaski, VA	40.27	36.6	63195	15	107	F
Hamilton, OH	36.79	32.8	122764	14.5	2138.4	M
Walworth, SD	28.51	39.7	205788	17.3	8.2	M
Uintah, UT	17.67	26.1	48340	16.2	5.2	F
Webster, LA	45.88	34.7	76456	22.7	69.8	F
Wayne, PA	28.64	36.3	150743	12.6	57.3	M
Fulton, KY	56.59	36.9	169210	29.2	38.8	F
Alamosa, CO	41.76	28.1	65165	24	19.2	M
Plymouth, MA	38.11	33.1	74667	9.7	666.1	F
Logan, WV	68.08	33.9	68591	27.6	94.2	M
Crawford, AR	41.18	32.6	60472	18	74.4	F
Strafford, NH	44.64	30.5	87996	9.6	280.9	M
Schoolcraft, MI	51.8	37.5	94427	17.7	7.2	F
Marshall, SD	45.97	38.9	38333	14.2	5.7	M
Hardeman, TX	49.28	38.9	138182	19.1	7.2	M
Fannin, GA	40.33	39	88296	17.6	43	F
Wood, WV	37.51	36	97258	17.4	238.2	M
St. Clair, IL	53.58	32	80024	18.3	395.7	F
Bell, TX	33.92	27.8	48290	15.8	180.2	M
Eau Claire, WI	45.08	30.3	64914	13.1	136.1	M
Cocke, TN	34.95	35.2	56886	25.2	67.7	M
Waushara, WI	32.94	38.6	72546	14.6	32.1	M
Washington, ID	26.21	37.3	107648	18.8	6	F
Washington, VT	45.85	34.2	137579	11.2	80.5	F
Morgan, IN	22.22	32.9	48631	9.1	143.9	F
Cullman, AL	35.98	34.8	67879	15.4	94.4	F
Marshall, IN	29.65	33.3	90154	8.6	97.2	F
Swisher, TX	47.91	34.2	123853	24.8	9.2	M
Pemiscot, MO	57.98	32.6	79344	34.7	43.8	M
Livingston, MI	28.92	32.9	49040	5.1	215.5	F
Winneshiek, IA	39.39	31.7	122319	11.1	30.4	F
Hennepin, MN	47.5	32.7	146252	11.7	1869.7	F
Mahaska, IA	36.24	34.8	92906	12.2	37.7	F
Delta, TX	42.88	39.7	95900	21.4	17	M
Craig, OK	44.7	37.9	108119	18	18.5	M
Moore, NC	36.29	38.6	91310	11.7	88.6	M
Beltrami, MN	45.1	29.2	78631	22.3	14.3	F
Lafayette, MO	38.71	35.3	115080	13.8	49.6	M
Montgomery, AR	51.29	40.1	54338	22.5	10.2	M
Stephenson, IL	36.47	35	136018	10.1	85.9	F
Dallas, AR	53.68	36.4	90482	21.3	14.2	F
Hancock, GA	77.95	31	52587	28.8	19	F
Porter, IN	36.84	32.7	54246	6.6	321.1	F
Mason, WV	47.6	35.8	69227	22.1	57.7	M
Rosebud, MT	42.6	29.4	56872	18.1	2.1	M
Warren, OH	25.65	32.7	56029	7.3	298.6	M
Rockingham, VA	25.16	34.5	40995	9.3	107	F
Franklin, LA	42.75	32.4	69029	33.2	35.8	F
Hamilton, IN	18.43	32.9	62579	4.1	304.3	F
Bennington, VT	44.89	34.9	111465	12.7	52.9	F
Logan, ND	25.77	42.4	194663	13.7	2.7	M
Carter, KY	49.35	33	68711	28.3	60.9	F
Lake, FL	33.24	44.7	101453	14.1	170.3	M
Nottoway, VA	41.98	36.7	132035	19.8	48	F
Newton, AR	42.59	35.7	47612	26.3	9.2	M
Fayette, IL	47.77	35.3	85860	14.6	29	F
Vermilion, LA	52.57	31.5	94926	22.5	42.8	F
Grayson, KY	34.2	34.8	92483	22.8	43.1	F
Transylvania, NC	38.97	38	73158	13.3	68.7	M
Northampton, PA	43.27	34.9	106220	8.4	673.4	M
Owen, IN	33.67	34.7	57836	13.2	47.5	F
Hopkins, KY	50.66	34.7	88858	19.3	84.3	F
Pocahontas, IA	41.1	39.2	143958	10.6	16.1	F
Vance, NC	51.55	33	66879	20.5	156.6	M
Carter, TN	33.88	36.2	44828	19.9	152.4	M
Door, WI	34.37	36.5	86144	9.3	53.7	M
Jackson, MI	36.64	33.4	49606	14.2	214.5	F
Crawford, PA	37	34.6	74171	16.1	85.7	M
Somerset, NJ	35.48	34.8	145479	4	820.5	M
Polk, IA	46.98	32.4	110170	10.3	593.5	F
Crockett, TN	49.6	36.3	112645	19	50.5	M
Lenoir, NC	44.32	34.7	55711	20.7	144.8	M
Carbon, WY	40.99	32.8	100736	11.2	2	M
Trigg, KY	50.22	39.7	92716	16.2	24.6	F
Orange, CA	31.56	31.4	82212	12.6	3147.8	M
Shackelford, TX	31.57	37.3	172952	15.8	3.6	M
Marion, AL	46.47	35.7	106725	18	40.1	F
Jefferson, AR	68.85	31.9	93840	27.6	96.2	M
Hardin, TN	45.65	36.3	69775	23.4	40.7	M
Union, GA	40.74	39.3	148835	15.7	40	F
Breathitt, KY	65.52	31.6	74546	40.3	30.5	F
Pierce, NE	17.15	35.4	107338	10	13.6	M
Accomack, VA	37.71	37.6	107667	23.3	70.4	F
Shiawassee, MI	39.03	32.5	61382	12.3	131.4	F
Warren, MS	39.73	32.4	91470	22.9	81.8	M
Bowie, TX	38.94	34	77525	17.7	92.7	M
De Kalb, AL	38.2	34.9	64579	17.3	71.9	F
Susquehanna, PA	32.13	34.9	101832	13.9	49.9	M
Randall, TX	22.5	32.3	22999	8.6	100.1	M
Habersham, GA	33.92	33.3	136899	12.3	102.8	F
Luzerne, PA	44.53	38.2	134874	12.6	369.8	M
Lewis, NY	33.32	31.5	58740	13.9	21.4	M
McCurtain, OK	44.21	33	58005	31.4	18.1	M
Panola, TX	42.33	34.6	88655	18.2	27.7	M
Boone, NE	19.1	36.2	166908	11.3	9.6	M
Galveston, TX	42.8	32.6	65278	15.9	569.9	M
Eddy, NM	40.7	33.4	98257	19.7	12.3	M
McNairy, TN	48.89	37.2	75656	20	40.3	M
Howard, AR	55.56	34.5	109796	17.5	23.3	F
Ionia, MI	35.14	29.9	56874	13.1	101.2	F
Clarke, GA	53.12	25.6	100548	22.3	731	F
Okeechobee, FL	36.48	34.3	68035	21.8	39.3	M
Jenkins, GA	51.36	32.6	57944	25.2	24.3	F
Butte, ID	28.81	33.3	66950	12.7	1.3	F
Reagan, TX	26.96	26.9	71498	14	3.9	M
Morris, NJ	32.31	35.3	147616	4	910.7	M
Meade, KY	45.99	28.1	38552	15	78.1	F
Sac, IA	36.36	38.3	133182	10.9	21.2	F
Linn, MO	45.31	39.4	123362	16.3	22.2	M
Granite, MT	27.06	38.5	82988	17.1	1.4	M
Iowa, WI	44.01	33.2	77897	9.5	26.9	M
Ottawa, OH	41.06	36.4	89024	8.8	157.2	M
Johnson, WY	20.85	37.6	127314	12.9	1.5	M
Grand Traverse, MI	32.35	33.2	98798	9.3	144.5	F
Montgomery, IL	50.04	35.3	130588	13.4	43.8	F
Karnes, TX	40.36	33.6	120281	28.6	16.3	M
Montgomery, IN	23.15	34	81913	9.3	69.4	F
Carson, TX	26.99	34.5	95526	8	7	M
Turner, SD	35.13	39	92435	12.1	13.9	M
Cabarrus, NC	32.86	34.6	48868	9.8	284.9	M
Norman, MN	43.29	39	120835	16.1	8.9	F
Cerro Gordo, IA	46.99	35.4	104292	10.3	82.3	F
Tulare, CA	35.22	29.2	54247	28.2	68.7	M
San Joaquin, CA	41.28	30.9	66194	18.8	360.2	M
Madison, VA	35.57	35.6	55270	13.3	37.3	F
Columbiana, OH	41.56	35	61363	16.3	207.1	M
Yankton, SD	36.32	33.5	154143	12.6	38.2	M
Lenawee, MI	39.12	32.6	81686	11.9	125.2	F
Union, IA	42.04	36.5	110688	14.2	29.7	F
Seminole, OK	45.16	36.3	63392	27.3	39.1	M
Mineral, WV	37.21	35.3	60258	17.2	82.1	M
Elbert, CO	24.52	33.8	20518	6.1	5.8	M
Mecklenburg, NC	42.5	32	141014	12.7	1016.3	M
Benton, WA	31.29	32.1	43298	10	70.6	F
Ottawa, KS	27.09	38.5	327740	10.5	7.6	F
Tyler, WV	37.76	36.3	51279	20.1	38	M
Pike, MO	49.2	36	130024	17	23.6	M
Stewart, TN	64.28	38.7	78772	15.4	22.1	M
Tyler, TX	47.08	39.8	50730	19.7	19.4	M
Ware, GA	43.87	34.4	76858	22.6	39.7	F
Koochiching, MN	46.54	35.6	80724	12.2	5.2	F
